15.16,GSDUX - Goldman Sachs Short Duration Tax Free Fund Insti,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","None,",None (or less than $201)
15.17,LAHYX - Lord Abbett Investment Trust High Yield Fund Cla,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
15.18,TFEBX - The Tax-Exempt Bond Fund of America - Class F-3,Mutual FundsMutual Fund,Child,"$15,001 - $50,000","None,",None (or less than $201)
15.19,"WSFS Bank(Wilmington, DE)Type: Checking,",Bank Deposit,Child,"$50,001 - $100,000","Interest,",None (or less than $201)
16,Margaret Coons,Brokerage/Managed Account,Child,,,
16.1,"WSFS Bank(Wilmington, DELAWARE)Type: Checking,",Bank Deposit,Child,"$50,001 - $100,000","Interest,",None (or less than $201)
16.2,"WSFS Bank(Wilmington, DE)Type: Savings,",Bank Deposit,Child,"$15,001 - $50,000","Interest,",None (or less than $201)
16.3,"WSFS Bank(Wilmington, DE)Type: Money Market Account,",Bank Deposit,Child,"$50,001 - $100,000","Interest,","$5,001 - $15,000"
16.4,FDRXX - Fidelity Government Cash Reserves,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Interest,","$1,001 - $2,500"
16.5,GQGIX - Gqg Partners Emerging Markets Equity Fund Instit,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,","$201 - $1,000"
16.6,RGERX - Columbia Select Global Equity Fund Class I2,Mutual FundsMutual Fund,Child,"$1,001 - $15,000","Dividends, Capital Gains,",None (or less than $201)
