Name,Office (Filer Type),Report Type,Date Received/Filed,Report Link,Annoying,Standard,Filename
"Kelly, Mark E","Kelly, Mark (Senator)",Annual Report for CY 2022 (Amendment 1),08/13/2024,https://efdsearch.senate.gov/search/view/annual/c21622bd-985a-4f17-b9f6-216ee6d51f44/,FALSE,TRUE,senate_reports/senate_reports_1731547562
"KELLY, MARK E",Senator,Annual Report (Amendment),08/13/2024,https://efdsearch.senate.gov/search/view/paper/fef0d054-e714-48ae-a01b-564cc7ca7e2c/,TRUE,FALSE,senate_reports/senate_reports_1731547563
"Kennedy, John N","Kennedy, John (Senator)",Annual Report for CY 2023,08/07/2024,https://efdsearch.senate.gov/search/view/annual/074d6eed-7fc7-41ec-900d-ee22977637f1/,FALSE,TRUE,senate_reports/senate_reports_1731547564
"King, Jr., Angus S","King, Angus (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/a15394cf-6a90-4ca9-8769-74fbde06bb6c/,FALSE,TRUE,senate_reports/senate_reports_1731547565
"Klobuchar, Amy J","Klobuchar, Amy (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/4556b4d9-a44d-4b8f-8ef7-f099b99cd4a2/,FALSE,TRUE,senate_reports/senate_reports_1731547566
"Lankford, James P","Lankford, James (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/b43f1c48-5289-4bc7-a3bb-12b46a6650a6/,FALSE,TRUE,senate_reports/senate_reports_1731547568
"Lee, Michael S","Lee, Mike (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/bb92d489-a444-452f-8fc3-783f92d061cd/,FALSE,TRUE,senate_reports/senate_reports_1731547569
"LUJAN, BEN RAY",Senator,Annual Report,05/15/2024,https://efdsearch.senate.gov/search/view/paper/b958913d-0f7b-43ac-9335-c927181ca50e/,TRUE,FALSE,senate_reports/senate_reports_1731547570
"LUJAN, BEN RAY",Senator,Annual Report (Amendment),02/21/2024,https://efdsearch.senate.gov/search/view/paper/579e0765-75a4-4d8b-9c2d-23b8ecace6d7/,TRUE,FALSE,senate_reports/senate_reports_1731547572
"Lummis, Cynthia M","Lummis, Cynthia (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/8dc381a6-f1a4-45d5-b2df-254b7c3fe23f/,FALSE,TRUE,senate_reports/senate_reports_1731547573
"Manchin, III, Joseph","Manchin, Joe (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/0e5ba574-5ea4-475b-9967-86d065d0db7c/,FALSE,TRUE,senate_reports/senate_reports_1731547574
"Manchin, III, Joseph","Manchin, Joe (Senator)",Annual Report for CY 2023 (Amendment 1),10/30/2024,https://efdsearch.senate.gov/search/view/annual/369b559d-467f-4fc8-aca2-938d83cc0eb3/,FALSE,TRUE,senate_reports/senate_reports_1731547575
"MARKEY, EDWARD J",Senator,Annual Report,05/15/2024,https://efdsearch.senate.gov/search/view/paper/ecdbf62a-3af7-4f6b-8221-a5156c05558f/,TRUE,FALSE,senate_reports/senate_reports_1731547576
"Marshall, Roger W","Marshall, Roger (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/a9edda97-d22c-45c2-bff6-81e92b757285/,FALSE,TRUE,senate_reports/senate_reports_1731547577
"McConnell, Jr., A. Mitchell","McConnell, A. Mitchell Jr. (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/632f557a-c28b-43a9-8de5-1be4faf38032/,FALSE,TRUE,senate_reports/senate_reports_1731547578
"Merkley, Jeffrey A","Merkley, Jeff (Senator)",Annual Report for CY 2023,05/14/2024,https://efdsearch.senate.gov/search/view/annual/b40609b3-2856-4dfd-8474-c1ef29624c19/,FALSE,TRUE,senate_reports/senate_reports_1731547580
"Moran,, Jerry","Moran, Jerry (Senator)",Annual Report for CY 2023,06/13/2024,https://efdsearch.senate.gov/search/view/annual/8b8b4899-b615-438e-b683-89d579f69ac1/,FALSE,TRUE,senate_reports/senate_reports_1731547581
"Mullin, Markwayne","Mullin, Markwayne (Senator)",Annual Report for CY 2023,08/12/2024,https://efdsearch.senate.gov/search/view/annual/314cb4e0-b326-43be-adf7-e783beb591a0/,FALSE,TRUE,senate_reports/senate_reports_1731547585
"Murkowski, Lisa A","Murkowski, Lisa (Senator)",Annual Report for CY 2022 (Amendment 2),05/15/2024,https://efdsearch.senate.gov/search/view/annual/3eb2708b-9cd5-4409-b642-e894c97f29d2/,FALSE,TRUE,senate_reports/senate_reports_1731547586
"Murkowski, Lisa A","Murkowski, Lisa (Senator)",Annual Report for CY 2022 (Amendment 1),01/24/2024,https://efdsearch.senate.gov/search/view/annual/d77dec56-b482-4683-9cff-d8ea240b8c3c/,FALSE,TRUE,senate_reports/senate_reports_1731547587
"Murkowski, Lisa A","Murkowski, Lisa (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/b4b6e7f5-acbb-4a6c-8094-1e554d2149b0/,FALSE,TRUE,senate_reports/senate_reports_1731547588
"Murphy, Christopher","Murphy, Chris (Senator)",Annual Report for CY 2023,08/09/2024,https://efdsearch.senate.gov/search/view/annual/5f41230d-a763-4b5c-ba50-7756a8226e04/,FALSE,TRUE,senate_reports/senate_reports_1731547589
"MURPHY, CHRISTOPHER",Senator,Annual Report (Amendment),08/09/2024,https://efdsearch.senate.gov/search/view/paper/c3823f10-1394-40db-976b-444358e16432/,TRUE,FALSE,senate_reports/senate_reports_1731547590
"Murray, Patty","Murray, Patty (Senator)",Annual Report for CY 2023,04/26/2024,https://efdsearch.senate.gov/search/view/annual/0338e0f7-7a96-4b8b-b768-1c99ceb415a9/,FALSE,TRUE,senate_reports/senate_reports_1731547591
"Ossoff, Thomas J","Ossoff, Jon (Senator)",Candidate Report (Amendment 2),05/15/2024,https://efdsearch.senate.gov/search/view/annual/0262a4ac-8042-4c39-b798-b85edc8ceba3/,FALSE,TRUE,senate_reports/senate_reports_1731547593
"Ossoff, Thomas J","Ossoff, Jon (Senator)",Annual Report for CY 2022 (Amendment 1),05/15/2024,https://efdsearch.senate.gov/search/view/annual/d63964c8-1c58-4b57-ad35-07e1a6104dc4/,FALSE,TRUE,senate_reports/senate_reports_1731547594
"Ossoff, Thomas J","Ossoff, Jon (Senator)",Candidate Report (Amendment 3),05/15/2024,https://efdsearch.senate.gov/search/view/annual/75543d83-83fc-474b-b46e-b91d74b436c6/,FALSE,TRUE,senate_reports/senate_reports_1731547595
"Ossoff, Thomas J","Ossoff, Jon (Senator)",Annual Report for CY 2021 (Amendment 1),05/15/2024,https://efdsearch.senate.gov/search/view/annual/9fd98fbe-9613-4aa9-896a-b8ba0e250c50/,FALSE,TRUE,senate_reports/senate_reports_1731547596
"Ossoff, Thomas J","Ossoff, Jon (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/a14df483-dd72-4266-98a2-09b9c7f8d1dc/,FALSE,TRUE,senate_reports/senate_reports_1731547597
"Padilla, Alex","Padilla, Alex (Senator)",Annual Report for CY 2023,08/07/2024,https://efdsearch.senate.gov/search/view/annual/ca0fa419-d659-4a70-88f1-04687560399a/,FALSE,TRUE,senate_reports/senate_reports_1731547598
"Paul, Rand","Paul, Rand (Senator)",Annual Report for CY 2023,08/13/2024,https://efdsearch.senate.gov/search/view/annual/26b5e9a7-ce61-4034-9963-3e452816c87e/,FALSE,TRUE,senate_reports/senate_reports_1731547599
"Peters, Gary C","Peters, Gary (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/9adef51e-91a1-467f-a89a-f9279fe51b5d/,FALSE,TRUE,senate_reports/senate_reports_1731547600
"Reed, John F","Reed, John F. (Senator)",Annual Report for CY 2023,05/15/2024,https://efdsearch.senate.gov/search/view/annual/d376b366-77d2-46d9-9393-82dc40d91e73/,FALSE,TRUE,senate_reports/senate_reports_1731547602
"Reed, John F","Reed, John F. (Senator)",Annual Report for CY 2023 (Amendment 1),09/25/2024,https://efdsearch.senate.gov/search/view/annual/d8307d1c-f850-4e59-bed6-58141608e9c9/,FALSE,TRUE,senate_reports/senate_reports_1731547603
